subject_id,genotype,n_units,mean_response_rate,baseline_rate,response_enhancement
sub-621890,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2446,0.8644726083401472,0.8807236304170074,-0.016251022076860244
sub-632487,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2745,1.0868245294474803,0.7121129326047358,0.37471159684274447
sub-637542,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2055,1.5171938361719384,0.9538321167883211,0.5633617193836172
sub-632485,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2272,1.0816461267605635,1.0052266725352113,0.07641945422535223
sub-637909,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2414,1.4188069594034798,0.8685791217895609,0.5502278376139189
sub-637908,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2558,1.8993354182955433,0.7499022673964034,1.14943315089914
sub-640507,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2378,1.212924025791982,0.8991799831791422,0.31374404261283984
sub-647836,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2170,1.3596774193548387,0.9837557603686636,0.375921658986175
sub-645324,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,3101,1.4736106632269161,1.0162044501773622,0.457406213049554
sub-645495,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,3047,0.8606279400503227,0.6083852970134559,0.25224264303686683
sub-642507,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,3017,1.2392553309026626,0.7279168047729533,0.5113385261297093
sub-649324,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2415,1.331055900621118,0.9162008281573499,0.41485507246376807
sub-645322,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,3065,1.3469276780859163,0.7756117455138662,0.57131593257205
sub-649323,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,2379,1.0476390640325066,0.7521542664985288,0.2954847975339778
